ID,Outcome
1,0
2,0
3,0
4,1
5,1
6,1
7,0
8,1
9,1
10,1
11,0
12,1
13,0
14,0
15,1
16,0
17,0
18,1
19,0
20,1
21,0
22,0
23,0
24,1
25,0
26,1
27,1
28,0
29,0
30,1
31,1
32,0
33,1
34,0
35,0
36,1
37,1
38,1
39,0
40,0
41,1
42,0
43,0
44,0
45,0
46,0
47,1
48,0
49,1
50,1
51,1
52,0
53,0
54,1
55,1
56,0
57,0
58,1
59,1
60,1
61,1
62,1
63,1
64,0
65,1
66,0
67,0
68,1
69,1
70,0
71,1
72,1
73,1
74,0
75,0
76,1
77,1
78,0
79,1
80,1
81,0
82,1
83,0
84,1
85,1
86,1
87,1
88,1
89,0
90,1
91,1
92,0
93,1
94,1
95,1
96,1
97,0
98,0
99,1
100,1
101,0
102,0
103,1
104,1
105,1
106,0
107,0
108,1
109,1
110,1
111,0
112,0
113,1
114,1
115,1
116,1
117,0
118,0
119,1
120,1
121,0
122,0
123,1
124,1
125,1
126,0
127,1
128,1
129,1
130,1
131,0
132,1
133,0
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,0
146,1
147,1
148,1
149,0
150,1
151,1
152,1
153,1
154,0
155,1
156,1
157,0
158,1
159,1
160,1
161,1
162,1
163,0
164,0
165,0
166,0
167,1
168,1
169,0
170,1
171,1
172,1
173,0
174,1
175,1
176,0
177,1
178,1
179,1
180,0
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,0
193,1
194,0
195,1
196,1
197,0
198,0
199,1
200,1
201,0
202,1
203,1
204,1
205,1
206,1
207,0
208,1
209,1
210,1
211,0
212,1
213,1
214,0
215,0
216,1
217,0
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,0
226,1
227,1
228,1
229,1
230,1
231,0
232,1
233,1
234,1
235,1
236,0
237,1
238,1
239,0
240,1
241,1
242,0
243,0
244,1
245,1
246,1
247,0
248,1
249,1
250,0
251,1
252,1
253,1
254,0
255,1
256,0
257,1
258,0
259,0
260,1
261,0
262,0
263,1
264,0
265,0
266,0
267,1
268,1
269,1
270,0
271,1
272,0
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,0
282,0
283,1
284,0
285,1
286,0
287,0
288,1
289,0
290,1
291,1
292,1
293,0
294,1
295,0
296,0
297,0
298,1
299,1
300,1
301,1
302,1
303,1
304,0
305,1
306,0
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,0
316,0
317,1
318,1
319,0
320,0
321,0
322,0
323,1
324,1
325,0
326,0
327,0
328,1
329,0
330,1
331,1
332,1
333,1
334,1
335,0
336,0
337,1
338,0
339,1

0.65680
